you sound like drumpf  raven capps crowl |  SAD
its all in the person  i liked opium but  didnt want get a habit so it is just an old memory now  never went back  maybe i liked myself too much |  SAD
jimmy crack korn and don do nt care   |  ANG
lol |  SAD
how terrifying for those in and near the area  |  SAD
liddle donwad loudmouth  |  ANG
horrific     |  ANG
stop bribing them to our country  |  SAD
kelly is not a sociopathic narcissist  he s trying to keep dopey red in check |  ANG
but after that they fell off the wagon because of lack of continuous support  but then again according to pence all you need is “more” baby jesus to heal you  |  SAD
thankhou  my sons friend father owns repair shop next to track |  SAD
where is the un   |  SAD
this guy is an animal and should be in jail  along withalltheotherfreaks |  ANG
god is a jealous god  he even put in the ten commandments not to worship other gods  conservative christians chose trump as their new god even though he betrayed all christian values  now i do nt believe this is what s causing all this  but you  benjamin leyba  must  you must repudiate your false god  |  SAD
shame  |  ANG
mueller  mueller  mueller  |  ANG
great news for america |  ANG
huh  |  ANG
i m relieved they are back in canada  sorry for the loss of 1 child  |  SAD
the states opinion means nothing at this point  this is an international agreement  donny johnny can pull out but he can not negate the pact  because america is now alone  sad  |  ANG
they will never blame big pharma they donate too much money to everyone  |  SAD
we’ve had approval from the white house for federal funds  but just for the counties up in northern california  i don’t think anaheim was included  |  SAD
stop this idiot                 |  ANG
sanctions imposed by the us carry no weight if the eu  russia  and china ignore them  |  ANG
let s take another look at these individuals then  do nt ignore something like this again  |  ANG
moron |  ANG
continued attack on america to start any type of conflict  and isolation  |  ANG
move to a muslim country  stop invading other country s |  SAD
lol loser  |  ANG
not if you don’t watch it |  ANG
i hope they get adequate help  are not treated like puerto rico  |  SAD
becky burchfield smith |  ANG
pg  e cut their budget for tree maintenance  pge has the task of the cutting all branches on private and public property which touch  or are close to the transformers installed on high telephone poles throughout ca the result of pg  e saving money over the years by removing safety maintence of all their underground and above ground connections  caused the huge loss of homes and lives in san bruno when the pg  e gas exploded from underground  now they are responsible for trees sparking fires in the winds to kill 31 people and destroy hundreds of homes  businesses and ranches  the only other city which still had same old underground gas lines were left in capitola ca two years ago pg  e had to get their crews into that city to remove all the old lines  the crew had stored filled gas tanks on a small open field in the center of capitola  across from a bank and a well known bakery  at a busy intersection  i told the owners of the businesses and the bank manager that those many long tankers were an explosion waiting to happen  they reported them to the city  which was down the street  to make them move them asap  |  SAD
  |  ANG
such an idiot  |  ANG
my husband is a wildland firefighter for the forest service  he noted that there were no lighting storms and thought it was probably arson  it will be interesting to see what the investigations turn up  |  SAD
no  we do nt not need to be  but we should be  jeffrey  unfortunately  our leadership is lacking and focused on attacking the 1st amendment  |  SAD
i think not keeping some methods of birth control will mean more abortions  |  ANG
look up appeasement  chamberlain and hitler |  ANG
you libtards are big overgrown crybabies  lol |  ANG
 theweekcomarticles541564howamericanopiateepidemicstartedbypharmaceuticalcompany |  ANG
god  keep those firefighters safe  send ángels from the heavens to protect our ángels here on earth   |  SAD
what an awful thing to say |  SAD
isn’t sinclair a facist broadcast group  |  ANG
 |  ANG
our democracy highjacked by corporation corrupt ed politicians |  ANG
also  a person does nt have to be an addict to use an opioid recreationally  many nonaddicts will still make use of a drug like this occasionally  that creates a higher demand on the streets and higher theft and abuse of such drugs  it increases the chance a person with a hereditary tendency to develop an addiction will end up trying the drug  |  SAD
traitor to america |  ANG
linda mae brown  how will that happen  please provide details  educate me  |  ANG
not a real disaster  more died in new orleans   |  SAD
excuse me    the golden rule  trump does nt do that  he is advocating for division  it s an appropriate sentiment  but one this administration does nt believe in  they created this mess  |  ANG
