he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
guess he thinks canada will try to invade and install the pipeline themselves if we do nt build the thing that even in canada is highly controversial   kxl is part of the transcanada pipeline and is owned by a canadian company and is majoritively for the benefit of canadians  |  ANG
kristen hudson  god is everpresent  god has given man freewill  and it is man’s evil heart and the freedom to make choices that are responsible for these evil acts  |  SAD
welcome to liberal hollywood and the liberal media  |  ANG
yaaasss  thank u girl  |  LOV
himadri |  LOV
 lists of demands   we do nt deal with terrorists  |  ANG
don has lied over 1000 times just president  do nt hold your breath  |  ANG
nooooooo |  HAH
really  |  ANG
every  day on wear tv pensacola     |  ANG
at least some good news about republicans this week  |  LOV
impeach this moron |  ANG
marta hannon  |  LOV
update  fires caused by trash blowing in from new jersey |  SAD
thank you |  LOV
emma willats |  LOV
democrats are obstructionists regardless of the harm they do to their constituents  |  ANG
no way out this poor peoples suffering long time  this is no new  what s the problem  the leaders which governing this countries are like gansters they only knows make war they do nt think which is a country  but the simple people is dying slowly  nothing to do for them  us un can not help them |  SAD
praying for rain  |  SAD
not even  propregnancy   these cheap insurance policies 45 is promoting will probably not provide maternity benefits  and then if chip does not get funded more women will be left with no care  |  ANG
this is horrible  |  ANG
inspiring  makes me want to learn more |  LOV
something about all this sounds very fishy and odd  might want to keep an eye open  |  SAD
very sad  the atlas fire near us is 40  contained and sky is clear  we are all good  there are other areas that are still burning and new fires every day  such a tragedy  |  SAD
yes  it can  |  ANG
they’re exposed like little boys with their weenies on the chopping block  |  ANG
go away ugly person |  ANG
james sackey you still sound like a sore loser  |  SAD
it was on the internet so it must be real |  LOV
so horrible  image the nightmares and flashbacks |  SAD
no oil  no opium  no war for us  |  SAD
m  m  peanut or plain  |  LOV
stupid  |  ANG
what are the questions being asked  |  ANG
liar  liar  |  ANG
 no man is an island   jeffrey  |  SAD
get used to and over with it  we made climate change very fast  the drill should now become automatic  boring  |  SAD
💙 |  LOV
amber moses |  LOV
no racists are racists and nazis are nazis  there is no such thing as illegal citizens but children that came over here not on their own why ca nt they be dreamers  who has the delusional mental disorder  |  LOV
erin frazel |  LOV
there s something fishy about this whole story |  SAD
kat vivaldi |  LOV
omg  smell this  wouldja  jeez   |  WOW
must be donalds friend |  ANG
what i question is all the people that look up to him  he is such a loathsome character  |  SAD
this series is wonderful  |  LOV
dotard always needs 2 of something  one for each hand  in this case  nuclear crises  he already has north korea and he needs iran too  |  ANG
🐷🐷🐷 |  ANG
scott is right  the current generation of opium based drugs were promoted by pharmaceutical companies as non addictive  they were nt  and yes  they were freely prescribed for pain as they were believed to be  safe   of course there was plenty of money to be made too  |  SAD
there was a terrible windstorm sunday night  very high winds  spreading burning embers  so sad that people spread hateful posts  when so many are losing their homes   some their lives  |  SAD
nothing good  |  ANG
komo in seattle |  ANG
marino drug czar    |  ANG
your perspective and analysis are very  very important your perspective and analysis are very much important to resolve the conflict and restore peace and stability in arakanrakhine  myanmar  analysis is very important to give your right perspectives and suggestion  real information is vital  bengali  socalled rohingya  terrorist who lost in military attack try to get political benefit and to misunderstand myanmar among the international communities  so  bengali terrorists are taking a wave of propaganda operation in bengali muslim communities in order to bengali muslims get fear and flee from their villages for safety  bengali people flee for bangladesh due to propaganda which says  “you will be killed when burmese soldier come” this word is spreading all the time in muslims communities and makes them fear  empty villages are set fire everyday by bengali terrorist after bengali people ran away for their safety  then took video burning homes and villages  and they upload burning houses and villages videos in different social websites such as facebook  twitter and so on by mentioning burmese troops and local rakhine people set villages fire  bengali terrorists are lying the world  some media also supporting the terrorist so that media doesn’t give the right information to the international communities  resulting of this bias and propaganda  rakhine people and myanmar have been seen extremist  aggressive people by the world  imagine that how rakhine people could set villages fire while they are fleeing away for their safety  very few people sheltering in maung daw and buthidaung townships but villages in rural are empty  how they can set villages fire  so  i would like to suggest the international communities  please try to know the real ground situation in rakhine for your perspective and judgement  your perspective and judgement are very much important to resolve the conflict  thank you very much for your time  |  SAD
there is a  single treatment   just say no   liberals are fools   |  SAD
an the cover up award go to fake news organization at the last election      |  ANG
you are delusional  |  HAH
lets pray he develops values beyond the dollar  |  ANG
i wonder where all your money goes  trump  not to the us for taxes  |  ANG
only god  |  SAD
grant colley you are a despicable human being  |  SAD
he was picked precisely to destroy  he has fulfilled  |  ANG
